id_filial|ds_filial|id_cidade
6|Filial - 000006|22
9|Filial - 000009|22
88|Filial - 000088|22
98|Filial - 000098|22
118|Filial - 000118|22
146|Filial - 000146|22
223|Filial - 000223|22
268|Filial - 000268|22
353|Filial - 000353|22
363|Filial - 000363|22
372|Filial - 000372|22
373|Filial - 000373|22
417|Filial - 000417|22
464|Filial - 000464|22
470|Filial - 000470|22
531|Filial - 000531|22
538|Filial - 000538|22
617|Filial - 000617|22
620|Filial - 000620|22
625|Filial - 000625|22
629|Filial - 000629|22
637|Filial - 000637|22
664|Filial - 000664|22
671|Filial - 000671|22
675|Filial - 000675|22
763|Filial - 000763|22
765|Filial - 000765|22
782|Filial - 000782|22
822|Filial - 000822|22
862|Filial - 000862|22
869|Filial - 000869|22
877|Filial - 000877|22
919|Filial - 000919|22
921|Filial - 000921|22
978|Filial - 000978|22
1112|Filial - 001112|22
1124|Filial - 001124|22
1136|Filial - 001136|22
1167|Filial - 001167|22
1210|Filial - 001210|22
1212|Filial - 001212|22
1221|Filial - 001221|22
1252|Filial - 001252|22
1278|Filial - 001278|22
1282|Filial - 001282|22
1320|Filial - 001320|22
1340|Filial - 001340|22
1346|Filial - 001346|22
1364|Filial - 001364|22
1384|Filial - 001384|22
1482|Filial - 001482|22
1531|Filial - 001531|22
1579|Filial - 001579|22
1580|Filial - 001580|22
1623|Filial - 001623|22
1657|Filial - 001657|22
1662|Filial - 001662|22
1704|Filial - 001704|22
1721|Filial - 001721|22
1727|Filial - 001727|22
466|Filial - 000466|163
748|Filial - 000748|163
482|Filial - 000482|168
1331|Filial - 001331|363
1365|Filial - 001365|363
1548|Filial - 001548|363
407|Filial - 000407|999
1118|Filial - 001118|999
1493|Filial - 001493|999
1561|Filial - 001561|2438
1127|Filial - 001127|443
1018|Filial - 001018|3000
1455|Filial - 001455|3000
1612|Filial - 001612|4249
77|Filial - 000077|1143
1625|Filial - 001625|1143
1537|Filial - 001537|5611
64|Filial - 000064|5641
71|Filial - 000071|5641
153|Filial - 000153|5641
214|Filial - 000214|5641
298|Filial - 000298|5641
575|Filial - 000575|5641
587|Filial - 000587|5641
1478|Filial - 001478|5641
1586|Filial - 001586|5641
1615|Filial - 001615|5641
100|Filial - 000100|26
122|Filial - 000122|26
134|Filial - 000134|26
135|Filial - 000135|26
333|Filial - 000333|26
522|Filial - 000522|26
604|Filial - 000604|26
740|Filial - 000740|26
855|Filial - 000855|26
930|Filial - 000930|26
1029|Filial - 001029|26
1052|Filial - 001052|26
1080|Filial - 001080|26
1205|Filial - 001205|26
1217|Filial - 001217|26
1225|Filial - 001225|26
1237|Filial - 001237|26
1245|Filial - 001245|26
1454|Filial - 001454|26
1483|Filial - 001483|26
1532|Filial - 001532|26
1505|Filial - 001505|463
1437|Filial - 001437|147
1145|Filial - 001145|1345
1504|Filial - 001504|1531
1676|Filial - 001676|5958
739|Filial - 000739|427
845|Filial - 000845|1351
1193|Filial - 001193|3648
245|Filial - 000245|4138
1486|Filial - 001486|4138
1632|Filial - 001632|4138
1501|Filial - 001501|6069
974|Filial - 000974|24
980|Filial - 000980|298
389|Filial - 000389|707
457|Filial - 000457|707
1512|Filial - 001512|707
60|Filial - 000060|4681
269|Filial - 000269|288
401|Filial - 000401|288
403|Filial - 000403|288
284|Filial - 000284|941
7|Filial - 000007|348
50|Filial - 000050|348
139|Filial - 000139|348
156|Filial - 000156|348
160|Filial - 000160|348
175|Filial - 000175|348
189|Filial - 000189|348
205|Filial - 000205|348
221|Filial - 000221|348
285|Filial - 000285|348
337|Filial - 000337|348
490|Filial - 000490|348
491|Filial - 000491|348
602|Filial - 000602|348
647|Filial - 000647|348
686|Filial - 000686|348
688|Filial - 000688|348
691|Filial - 000691|348
705|Filial - 000705|348
709|Filial - 000709|348
741|Filial - 000741|348
742|Filial - 000742|348
773|Filial - 000773|348
777|Filial - 000777|348
785|Filial - 000785|348
833|Filial - 000833|348
873|Filial - 000873|348
931|Filial - 000931|348
977|Filial - 000977|348
1042|Filial - 001042|348
1055|Filial - 001055|348
1065|Filial - 001065|348
1072|Filial - 001072|348
1094|Filial - 001094|348
1104|Filial - 001104|348
1135|Filial - 001135|348
1181|Filial - 001181|348
1204|Filial - 001204|348
1206|Filial - 001206|348
1232|Filial - 001232|348
1254|Filial - 001254|348
1283|Filial - 001283|348
1289|Filial - 001289|348
1295|Filial - 001295|348
1309|Filial - 001309|348
1328|Filial - 001328|348
1349|Filial - 001349|348
1426|Filial - 001426|348
1430|Filial - 001430|348
1436|Filial - 001436|348
1466|Filial - 001466|348
1497|Filial - 001497|348
1665|Filial - 001665|348
1666|Filial - 001666|348
511|Filial - 000511|395
696|Filial - 000696|395
844|Filial - 000844|395
1197|Filial - 001197|395
252|Filial - 000252|5104
1172|Filial - 001172|612
555|Filial - 000555|6998
524|Filial - 000524|180
424|Filial - 000424|3889
195|Filial - 000195|725
101|Filial - 000101|1499
325|Filial - 000325|351
755|Filial - 000755|351
800|Filial - 000800|351
831|Filial - 000831|351
863|Filial - 000863|351
976|Filial - 000976|351
1079|Filial - 001079|351
1251|Filial - 001251|351
1542|Filial - 001542|351
369|Filial - 000369|410
665|Filial - 000665|410
1366|Filial - 001366|410
1443|Filial - 001443|410
1280|Filial - 001280|699
89|Filial - 000089|3
94|Filial - 000094|3
96|Filial - 000096|3
99|Filial - 000099|3
257|Filial - 000257|3
331|Filial - 000331|3
914|Filial - 000914|3
1389|Filial - 001389|3
32|Filial - 000032|107
115|Filial - 000115|107
124|Filial - 000124|107
162|Filial - 000162|107
314|Filial - 000314|107
378|Filial - 000378|107
409|Filial - 000409|107
548|Filial - 000548|107
549|Filial - 000549|107
618|Filial - 000618|107
779|Filial - 000779|107
934|Filial - 000934|107
1045|Filial - 001045|107
1046|Filial - 001046|107
1060|Filial - 001060|107
1116|Filial - 001116|107
1161|Filial - 001161|107
1175|Filial - 001175|107
1196|Filial - 001196|107
1211|Filial - 001211|107
1250|Filial - 001250|107
1273|Filial - 001273|107
1275|Filial - 001275|107
1344|Filial - 001344|107
1701|Filial - 001701|107
31|Filial - 000031|3232
1111|Filial - 001111|1416
12|Filial - 000012|5
273|Filial - 000273|5
539|Filial - 000539|5
1059|Filial - 001059|5
250|Filial - 000250|1207
296|Filial - 000296|2705
562|Filial - 000562|2705
866|Filial - 000866|2705
1290|Filial - 001290|2705
586|Filial - 000586|6321
1256|Filial - 001256|7022
1260|Filial - 001260|153
1239|Filial - 001239|268
1529|Filial - 001529|915
728|Filial - 000728|376
788|Filial - 000788|376
794|Filial - 000794|376
802|Filial - 000802|376
1336|Filial - 001336|376
1385|Filial - 001385|376
1567|Filial - 001567|376
1620|Filial - 001620|376
826|Filial - 000826|700
514|Filial - 000514|1294
796|Filial - 000796|1294
1560|Filial - 001560|1294
594|Filial - 000594|4901
676|Filial - 000676|342
722|Filial - 000722|342
827|Filial - 000827|342
932|Filial - 000932|342
1606|Filial - 001606|1136
508|Filial - 000508|1497
912|Filial - 000912|1696
158|Filial - 000158|2060
1401|Filial - 001401|2060
301|Filial - 000301|2942
1198|Filial - 001198|2942
1231|Filial - 001231|710
513|Filial - 000513|1339
1070|Filial - 001070|1339
1316|Filial - 001316|1339
1689|Filial - 001689|364
312|Filial - 000312|825
459|Filial - 000459|825
558|Filial - 000558|825
654|Filial - 000654|825
658|Filial - 000658|825
768|Filial - 000768|825
809|Filial - 000809|825
942|Filial - 000942|825
1621|Filial - 001621|825
222|Filial - 000222|4668
1578|Filial - 001578|4668
638|Filial - 000638|331
717|Filial - 000717|331
66|Filial - 000066|1104
239|Filial - 000239|1104
455|Filial - 000455|1104
591|Filial - 000591|5867
472|Filial - 000472|467
288|Filial - 000288|935
886|Filial - 000886|1415
887|Filial - 000887|5603
570|Filial - 000570|7229
783|Filial - 000783|679
1218|Filial - 001218|679
471|Filial - 000471|6134
123|Filial - 000123|148
187|Filial - 000187|148
434|Filial - 000434|148
543|Filial - 000543|148
610|Filial - 000610|148
651|Filial - 000651|148
901|Filial - 000901|148
925|Filial - 000925|148
928|Filial - 000928|148
1056|Filial - 001056|148
1075|Filial - 001075|148
1101|Filial - 001101|148
1142|Filial - 001142|148
1143|Filial - 001143|148
1174|Filial - 001174|148
1369|Filial - 001369|148
1247|Filial - 001247|462
1066|Filial - 001066|1430
1710|Filial - 001710|3141
249|Filial - 000249|4867
576|Filial - 000576|4867
1434|Filial - 001434|381
1597|Filial - 001597|6597
159|Filial - 000159|4
313|Filial - 000313|4
329|Filial - 000329|4
366|Filial - 000366|4
368|Filial - 000368|4
547|Filial - 000547|4
790|Filial - 000790|4
871|Filial - 000871|4
1738|Filial - 001738|4
958|Filial - 000958|156
356|Filial - 000356|267
911|Filial - 000911|267
1078|Filial - 001078|267
1213|Filial - 001213|267
1407|Filial - 001407|267
1668|Filial - 001668|267
1261|Filial - 001261|429
648|Filial - 000648|1178
1077|Filial - 001077|1178
1194|Filial - 001194|1481
1545|Filial - 001545|1481
1736|Filial - 001736|1481
1023|Filial - 001023|1791
678|Filial - 000678|2443
1036|Filial - 001036|2443
114|Filial - 000114|3226
830|Filial - 000830|106
140|Filial - 000140|315
283|Filial - 000283|315
579|Filial - 000579|315
588|Filial - 000588|315
628|Filial - 000628|315
640|Filial - 000640|315
660|Filial - 000660|315
746|Filial - 000746|315
770|Filial - 000770|315
774|Filial - 000774|315
816|Filial - 000816|315
818|Filial - 000818|315
927|Filial - 000927|315
983|Filial - 000983|315
991|Filial - 000991|315
995|Filial - 000995|315
1022|Filial - 001022|315
1047|Filial - 001047|315
1130|Filial - 001130|315
1151|Filial - 001151|315
1162|Filial - 001162|315
1378|Filial - 001378|315
1439|Filial - 001439|315
1496|Filial - 001496|315
1645|Filial - 001645|315
345|Filial - 000345|472
537|Filial - 000537|472
613|Filial - 000613|472
382|Filial - 000382|1363
155|Filial - 000155|759
528|Filial - 000528|692
1144|Filial - 001144|692
215|Filial - 000215|496
396|Filial - 000396|496
1086|Filial - 001086|496
1516|Filial - 001516|496
1543|Filial - 001543|496
1622|Filial - 001622|496
174|Filial - 000174|2429
395|Filial - 000395|2429
656|Filial - 000656|2429
1034|Filial - 001034|2429
1240|Filial - 001240|2429
1473|Filial - 001473|2429
1533|Filial - 001533|2429
1576|Filial - 001576|2429
1714|Filial - 001714|2429
504|Filial - 000504|2826
506|Filial - 000506|6170
510|Filial - 000510|5183
180|Filial - 000180|21
738|Filial - 000738|21
1109|Filial - 001109|21
1658|Filial - 001658|21
270|Filial - 000270|229
1329|Filial - 001329|1096
126|Filial - 000126|1309
367|Filial - 000367|88
899|Filial - 000899|276
235|Filial - 000235|3508
262|Filial - 000262|5303
850|Filial - 000850|720
865|Filial - 000865|720
1122|Filial - 001122|720
1177|Filial - 001177|720
1608|Filial - 001608|720
1550|Filial - 001550|423
423|Filial - 000423|1755
897|Filial - 000897|3452
418|Filial - 000418|372
772|Filial - 000772|372
1375|Filial - 001375|372
247|Filial - 000247|1878
324|Filial - 000324|1878
408|Filial - 000408|1878
516|Filial - 000516|1878
517|Filial - 000517|1878
550|Filial - 000550|1878
563|Filial - 000563|1878
1314|Filial - 001314|1878
1359|Filial - 001359|1878
1417|Filial - 001417|1878
1526|Filial - 001526|1878
1633|Filial - 001633|1878
1639|Filial - 001639|1878
1697|Filial - 001697|1878
322|Filial - 000322|7468
294|Filial - 000294|89
377|Filial - 000377|89
463|Filial - 000463|89
473|Filial - 000473|89
776|Filial - 000776|89
811|Filial - 000811|89
815|Filial - 000815|89
854|Filial - 000854|89
1155|Filial - 001155|89
36|Filial - 000036|2658
380|Filial - 000380|3069
1539|Filial - 001539|5353
26|Filial - 000026|243
360|Filial - 000360|243
397|Filial - 000397|243
452|Filial - 000452|243
657|Filial - 000657|243
939|Filial - 000939|243
1089|Filial - 001089|243
1223|Filial - 001223|243
1605|Filial - 001605|243
173|Filial - 000173|737
251|Filial - 000251|737
286|Filial - 000286|737
319|Filial - 000319|737
734|Filial - 000734|737
964|Filial - 000964|737
984|Filial - 000984|737
1008|Filial - 001008|737
1090|Filial - 001090|737
1200|Filial - 001200|737
1241|Filial - 001241|737
1324|Filial - 001324|737
1333|Filial - 001333|737
1347|Filial - 001347|737
1376|Filial - 001376|737
1449|Filial - 001449|737
1595|Filial - 001595|2907
1682|Filial - 001682|2907
791|Filial - 000791|758
635|Filial - 000635|1292
906|Filial - 000906|1292
46|Filial - 000046|4996
184|Filial - 000184|19
346|Filial - 000346|19
488|Filial - 000488|19
489|Filial - 000489|19
534|Filial - 000534|19
1062|Filial - 001062|32
311|Filial - 000311|125
1572|Filial - 001572|125
347|Filial - 000347|256
581|Filial - 000581|256
701|Filial - 000701|256
760|Filial - 000760|256
792|Filial - 000792|256
846|Filial - 000846|256
956|Filial - 000956|256
982|Filial - 000982|256
1011|Filial - 001011|256
1014|Filial - 001014|256
1083|Filial - 001083|256
1146|Filial - 001146|256
1170|Filial - 001170|256
1253|Filial - 001253|256
1293|Filial - 001293|256
1302|Filial - 001302|256
1337|Filial - 001337|256
1341|Filial - 001341|256
1350|Filial - 001350|256
1358|Filial - 001358|256
1393|Filial - 001393|256
1406|Filial - 001406|256
1447|Filial - 001447|256
1506|Filial - 001506|256
1674|Filial - 001674|256
885|Filial - 000885|900
1541|Filial - 001541|900
75|Filial - 000075|3878
1627|Filial - 001627|3878
38|Filial - 000038|8
76|Filial - 000076|8
90|Filial - 000090|8
117|Filial - 000117|8
119|Filial - 000119|8
141|Filial - 000141|8
143|Filial - 000143|8
344|Filial - 000344|8
392|Filial - 000392|8
415|Filial - 000415|8
426|Filial - 000426|8
451|Filial - 000451|8
487|Filial - 000487|8
523|Filial - 000523|8
730|Filial - 000730|8
789|Filial - 000789|8
867|Filial - 000867|8
875|Filial - 000875|8
880|Filial - 000880|8
968|Filial - 000968|8
1096|Filial - 001096|8
1098|Filial - 001098|8
1106|Filial - 001106|8
1107|Filial - 001107|8
1292|Filial - 001292|8
1445|Filial - 001445|8
1450|Filial - 001450|8
1619|Filial - 001619|8
1693|Filial - 001693|8
1706|Filial - 001706|8
1723|Filial - 001723|8
371|Filial - 000371|204
477|Filial - 000477|204
915|Filial - 000915|204
1636|Filial - 001636|204
1515|Filial - 001515|297
1097|Filial - 001097|1213
1617|Filial - 001617|6163
1628|Filial - 001628|6163
297|Filial - 000297|238
1021|Filial - 001021|238
44|Filial - 000044|6459
57|Filial - 000057|6459
227|Filial - 000227|6459
258|Filial - 000258|6459
819|Filial - 000819|6459
1394|Filial - 001394|6459
1734|Filial - 001734|6459
1287|Filial - 001287|2369
1456|Filial - 001456|4720
48|Filial - 000048|59
414|Filial - 000414|59
468|Filial - 000468|59
590|Filial - 000590|59
603|Filial - 000603|59
611|Filial - 000611|59
682|Filial - 000682|59
813|Filial - 000813|59
946|Filial - 000946|59
1006|Filial - 001006|59
1063|Filial - 001063|59
1312|Filial - 001312|59
1423|Filial - 001423|59
1431|Filial - 001431|59
1514|Filial - 001514|59
16|Filial - 000016|236
178|Filial - 000178|236
204|Filial - 000204|236
230|Filial - 000230|236
274|Filial - 000274|236
281|Filial - 000281|236
310|Filial - 000310|236
427|Filial - 000427|236
501|Filial - 000501|236
605|Filial - 000605|236
608|Filial - 000608|236
632|Filial - 000632|236
689|Filial - 000689|236
703|Filial - 000703|236
781|Filial - 000781|236
838|Filial - 000838|236
843|Filial - 000843|236
861|Filial - 000861|236
979|Filial - 000979|236
1284|Filial - 001284|236
1296|Filial - 001296|236
1391|Filial - 001391|236
1459|Filial - 001459|236
1609|Filial - 001609|236
1688|Filial - 001688|236
1705|Filial - 001705|236
191|Filial - 000191|391
308|Filial - 000308|391
642|Filial - 000642|391
672|Filial - 000672|391
841|Filial - 000841|391
896|Filial - 000896|391
933|Filial - 000933|391
975|Filial - 000975|391
1027|Filial - 001027|391
1137|Filial - 001137|391
1139|Filial - 001139|391
1244|Filial - 001244|391
1352|Filial - 001352|391
1373|Filial - 001373|391
1420|Filial - 001420|391
1524|Filial - 001524|391
1306|Filial - 001306|766
1509|Filial - 001509|766
888|Filial - 000888|2890
161|Filial - 000161|3808
240|Filial - 000240|3808
376|Filial - 000376|54
120|Filial - 000120|73
666|Filial - 000666|664
1338|Filial - 001338|664
54|Filial - 000054|2160
219|Filial - 000219|2160
1491|Filial - 001491|2160
462|Filial - 000462|169
1485|Filial - 001485|169
217|Filial - 000217|460
757|Filial - 000757|460
1304|Filial - 001304|460
181|Filial - 000181|234
1159|Filial - 001159|234
1591|Filial - 001591|2261
42|Filial - 000042|1177
80|Filial - 000080|4732
707|Filial - 000707|176
761|Filial - 000761|176
1471|Filial - 001471|176
210|Filial - 000210|128
361|Filial - 000361|128
659|Filial - 000659|128
404|Filial - 000404|875
165|Filial - 000165|43
1187|Filial - 001187|43
1452|Filial - 001452|637
4|Filial - 000004|6
127|Filial - 000127|6
224|Filial - 000224|6
228|Filial - 000228|6
405|Filial - 000405|6
430|Filial - 000430|6
439|Filial - 000439|6
485|Filial - 000485|6
494|Filial - 000494|6
526|Filial - 000526|6
858|Filial - 000858|6
884|Filial - 000884|6
1051|Filial - 001051|6
1085|Filial - 001085|6
1088|Filial - 001088|6
1126|Filial - 001126|6
1584|Filial - 001584|6
1680|Filial - 001680|6
1717|Filial - 001717|6
926|Filial - 000926|211
1000|Filial - 001000|211
152|Filial - 000152|877
207|Filial - 000207|877
248|Filial - 000248|1398
805|Filial - 000805|711
1002|Filial - 001002|711
1233|Filial - 001233|711
1474|Filial - 001474|986
112|Filial - 000112|2396
1068|Filial - 001068|2674
305|Filial - 000305|3318
574|Filial - 000574|3318
1381|Filial - 001381|428
825|Filial - 000825|657
955|Filial - 000955|657
456|Filial - 000456|6398
339|Filial - 000339|134
566|Filial - 000566|7482
202|Filial - 000202|154
752|Filial - 000752|154
1031|Filial - 001031|154
1487|Filial - 001487|154
606|Filial - 000606|224
1511|Filial - 001511|399
1618|Filial - 001618|1140
24|Filial - 000024|1263
169|Filial - 000169|1263
1038|Filial - 001038|1263
1265|Filial - 001265|1263
45|Filial - 000045|35
233|Filial - 000233|35
375|Filial - 000375|35
431|Filial - 000431|35
441|Filial - 000441|35
898|Filial - 000898|35
918|Filial - 000918|35
999|Filial - 000999|35
1012|Filial - 001012|35
1103|Filial - 001103|35
1248|Filial - 001248|35
1267|Filial - 001267|35
1319|Filial - 001319|35
1351|Filial - 001351|35
1694|Filial - 001694|35
596|Filial - 000596|1858
1624|Filial - 001624|1858
379|Filial - 000379|81
1249|Filial - 001249|341
450|Filial - 000450|405
507|Filial - 000507|405
1475|Filial - 001475|405
1563|Filial - 001563|405
615|Filial - 000615|446
1412|Filial - 001412|2920
1596|Filial - 001596|3143
736|Filial - 000736|4485
197|Filial - 000197|132
362|Filial - 000362|132
1192|Filial - 001192|132
540|Filial - 000540|464
87|Filial - 000087|771
277|Filial - 000277|771
965|Filial - 000965|771
1416|Filial - 001416|771
1490|Filial - 001490|771
1498|Filial - 001498|771
8|Filial - 000008|3514
443|Filial - 000443|207
478|Filial - 000478|207
1269|Filial - 001269|922
279|Filial - 000279|85
358|Filial - 000358|85
438|Filial - 000438|85
695|Filial - 000695|85
764|Filial - 000764|85
771|Filial - 000771|85
989|Filial - 000989|85
1222|Filial - 001222|85
1230|Filial - 001230|85
1379|Filial - 001379|85
1326|Filial - 001326|249
1557|Filial - 001557|1281
1500|Filial - 001500|3055
985|Filial - 000985|451
1571|Filial - 001571|1098
589|Filial - 000589|6396
582|Filial - 000582|345
684|Filial - 000684|345
1616|Filial - 001616|4679
1521|Filial - 001521|67
1671|Filial - 001671|67
10|Filial - 000010|72
11|Filial - 000011|72
39|Filial - 000039|72
179|Filial - 000179|72
200|Filial - 000200|72
390|Filial - 000390|72
527|Filial - 000527|72
619|Filial - 000619|72
644|Filial - 000644|72
876|Filial - 000876|72
963|Filial - 000963|72
1303|Filial - 001303|72
1325|Filial - 001325|72
1330|Filial - 001330|72
1660|Filial - 001660|72
1716|Filial - 001716|72
1185|Filial - 001185|165
1279|Filial - 001279|866
1182|Filial - 001182|3092
1246|Filial - 001246|3092
553|Filial - 000553|4211
681|Filial - 000681|327
807|Filial - 000807|327
1383|Filial - 001383|327
1603|Filial - 001603|327
907|Filial - 000907|337
111|Filial - 000111|418
536|Filial - 000536|418
732|Filial - 000732|418
1173|Filial - 001173|418
1410|Filial - 001410|418
1470|Filial - 001470|418
51|Filial - 000051|5242
1503|Filial - 001503|5242
260|Filial - 000260|5347
19|Filial - 000019|6622
1592|Filial - 001592|6622
1258|Filial - 001258|11
1695|Filial - 001695|11
244|Filial - 000244|62
1670|Filial - 001670|62
14|Filial - 000014|642
316|Filial - 000316|1385
105|Filial - 000105|77
829|Filial - 000829|178
578|Filial - 000578|3323
177|Filial - 000177|257
186|Filial - 000186|257
303|Filial - 000303|257
304|Filial - 000304|257
484|Filial - 000484|257
612|Filial - 000612|257
720|Filial - 000720|257
808|Filial - 000808|257
814|Filial - 000814|257
893|Filial - 000893|257
1082|Filial - 001082|257
1095|Filial - 001095|257
1113|Filial - 001113|257
1257|Filial - 001257|257
1285|Filial - 001285|257
1310|Filial - 001310|257
1427|Filial - 001427|257
1673|Filial - 001673|257
1677|Filial - 001677|2653
529|Filial - 000529|152
852|Filial - 000852|152
338|Filial - 000338|278
669|Filial - 000669|624
1004|Filial - 001004|624
1171|Filial - 001171|624
1360|Filial - 001360|3604
762|Filial - 000762|426
916|Filial - 000916|426
1602|Filial - 001602|1225
335|Filial - 000335|3175
1601|Filial - 001601|3175
381|Filial - 000381|50
1043|Filial - 001043|50
1634|Filial - 001634|4508
402|Filial - 000402|5910
1441|Filial - 001441|680
1132|Filial - 001132|196
1390|Filial - 001390|196
723|Filial - 000723|628
23|Filial - 000023|656
444|Filial - 000444|656
1147|Filial - 001147|656
1368|Filial - 001368|656
559|Filial - 000559|1841
937|Filial - 000937|25
